,R,G,B,RG,grijswaarde,groep,hex,counts
0,13,16,8,136,37,-2,#0d1008,25530
1,46,63,31,254,140,3,#2e3f1f,183485
2,71,61,37,0,169,2,#473d25,168089
3,91,116,68,254,275,1,#5b7444,195606
4,125,109,76,0,310,5,#7d6d4c,193659
5,144,167,122,254,433,4,#90a77a,104806
6,179,163,141,0,483,0,#b3a38d,103732
7,228,222,211,75,661,-1,#e4ded3,25093
