,R,G,B,RG,grijswaarde,groep,hex,counts
0,13,16,8,135,37,-2,#0d1008,922879
1,45,63,30,255,138,4,#2d3f1e,6539747
2,71,61,37,0,169,5,#473d25,6048605
3,91,115,67,255,273,1,#5b7343,7070210
4,125,110,76,0,311,0,#7d6e4c,6964594
5,144,167,122,255,433,3,#90a77a,3823923
6,179,163,141,0,483,2,#b3a38d,3720327
7,228,222,211,76,661,-1,#e4ded3,909715
