,R,G,B,aantal,verdeling_in_N,verdeling_in_M
0,26,23,19,2001094,3,1
1,34,47,27,6986127,2,2
2,64,90,51,9314557,7,2
3,94,78,61,2874888,6,1
4,101,134,86,7628846,8,0
5,123,149,150,340853,5,0
6,148,148,154,350538,4,1
7,153,135,116,2701487,1,1
8,163,193,139,3405128,0,0
9,212,197,183,2274882,9,1
