,R,G,B,aantal,verdeling_in_N,verdeling_in_M
7,134,154,94,3850408,4,0
6,132,146,149,68208,7,0
10,184,197,154,2210164,9,0
8,142,119,69,3927150,0,1
9,180,154,104,3422585,3,1
1,59,47,22,1621120,5,1
11,221,203,172,1230612,8,1
5,131,134,139,37970,10,1
4,104,85,41,3209394,11,1
0,32,47,17,4094819,1,2
3,97,114,55,5715841,2,2
2,64,82,33,6611729,6,2
