,R,G,B,aantal,verdeling_in_N,verdeling_in_M
0,37,52,19,5286559,4,0
1,68,55,23,2472463,3,1
2,74,92,38,8148597,1,0
3,115,134,72,5741500,8,2
4,121,101,53,4491910,0,1
5,132,146,149,68208,7,2
6,169,143,91,4728493,6,1
7,172,187,140,3306305,2,2
8,214,195,158,1755965,5,1
