,R,G,B,aantal,verdeling_in_N,verdeling_in_M
4,140,118,68,6159554,1,0
6,198,175,130,3651850,3,0
2,78,63,28,3637427,4,0
1,74,92,38,8270995,0,1
0,37,52,19,5317060,5,1
3,117,135,71,5717139,2,2
5,174,188,139,3245975,6,2
