,R,G,B,aantal,verdeling_in_N,verdeling_in_M
3,116,134,70,5786330,1,0
5,173,186,138,3365233,6,0
4,138,116,66,6056122,0,1
6,195,171,125,3921374,4,1
2,77,63,27,3471335,5,1
1,74,92,38,8155939,2,2
0,37,52,19,5243667,3,2
